state,gun_laws2017
Alabama,10
Alaska,3
Arizona,8
Arkansas,11
California,106
Colorado,30
Connecticut,92
Delaware,40
Florida,21
Georgia,6
Hawaii,81
Idaho,2
Illinois,65
Indiana,12
Iowa,24
Kansas,4
Kentucky,7
Louisiana,13
Maine,11
Maryland,66
Massachusetts,101
Michigan,21
Minnesota,41
Mississippi,2
Missouri,2
Montana,4
Nebraska,22
Nevada,21
New Hampshire,9
New Jersey,75
New Mexico,10
New York,75
North Carolina,30
North Dakota,10
Ohio,16
Oklahoma,9
Oregon,35
Pennsylvania,37
Rhode Island,53
South Carolina,12
South Dakota,5
Tennessee,22
Texas,18
Utah,13
Vermont,6
Virginia,13
Washington,43
West Virginia,18
Wisconsin,23
Wyoming,6
